Company,Type,Inches,CPU,Generation,RAM,Memory,GPU,OS,Weight,Price
Asus,Notebook,11,Core i3,3,4GB,500GB HDD,Intel,Windows 10,1kg,1500000
Asus,Ultrabook,14,Core i7,4,8GB,500GB HDD,Nvidia,Windows 10,2kg,3500000
Dell,Workstation,14,Core i7,3,4GB,500GB HDD,Intel,Windows 10,2kg,1750000
Asus,Workstation,14,Core i7,2,4GB,750GB HDD,Intel + Nvidia,Windows 10,2kg,2300000
ROG,Gaming,17,Core i7,4,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,5000000
Asus,Ultrabook,15,Core i7,4,8GB,500GB HDD,Intel,Windows 10,2kg,2500000
Thinkpad,Workstation,14,Core i7,5,8GB,128GB SSD,Intel + AMD,Windows 10,2kg,3200000
Hp,Workstation,14,Core i7,3,8GB,750GB HDD,Intel + AMD,Windows 10,2kg,2400000
Lenovo,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel + AMD,Windows 11,2kg,4000000
Lenovo,Workstation,14,Core i5,1,4GB,500GB HDD,Nvidia,Windows 10,2kg,1600000
Acer,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3950000
Asus,Gaming,15,Core i7,6,16GB,256GB SSD,Intel + Nvidia GTX,Windows 10,3kg,6000000
Lenovo,2 in 1,14,Core i7,8,8GB,256GB SSD + 1000GB HDD,Intel + Nvidia,Windows 10,2kg,6400000
Lenovo,Ultrabook,14,Ryzen 3,5,16GB,512GB SSD,AMD,Windows 11,2kg,6500000
Dell,Workstation,13,Core i5,6,8GB,256GB SSD,Intel,Windows 11,2kg,2400000
Thinkpad,Workstation,14,Core i5,6,4GB,256GB SSD,Intel,Windows 11,2kg,2800000
Asus,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,3100000
Acer,Ultrabook,15,Core i5,8,8GB,256GB SSD,Intel,Windows 11,2kg,3000000
Asus,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,4400000
Asus,Workstation,14,Core i7,5,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3100000
Thinkpad,2 in 1,13,Core i5,3,4GB,500GB HDD,Intel,Windows 10,2kg,2000000
